,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,Laps,LapTimePerKM,RacePercentage
85,HAM,Mercedes,14.0,75.52600000000001,1.0,SOFT,18.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.733270720826486,0.19444444444444445
86,HAM,Mercedes,15.0,75.13900000000001,1.0,SOFT,19.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.642404320262973,0.20833333333333334
87,HAM,Mercedes,16.0,75.161,1.0,SOFT,20.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.64756985207795,0.2222222222222222
88,HAM,Mercedes,17.0,75.418,1.0,SOFT,21.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.707912655552946,0.2361111111111111
89,HAM,Mercedes,18.0,75.476,1.0,SOFT,22.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.72153087579244,0.25
90,HAM,Mercedes,19.0,75.619,1.0,SOFT,23.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.75510683258981,0.2638888888888889
91,HAM,Mercedes,20.0,79.092,1.0,SOFT,24.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.570556468654612,0.2777777777777778
92,HAM,Mercedes,21.0,92.549,2.0,MEDIUM,1.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,21.730218361117632,0.2916666666666667
93,HAM,Mercedes,22.0,73.757,2.0,MEDIUM,2.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.317915003521954,0.3055555555555556
94,HAM,Mercedes,23.0,74.23400000000001,2.0,MEDIUM,3.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.429913125146747,0.3194444444444444
95,HAM,Mercedes,24.0,74.238,2.0,MEDIUM,4.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.43085231274947,0.3333333333333333
96,HAM,Mercedes,25.0,74.418,2.0,MEDIUM,5.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.473115754872037,0.3472222222222222
97,HAM,Mercedes,26.0,74.927,2.0,MEDIUM,6.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.59262737731862,0.3611111111111111
98,HAM,Mercedes,27.0,74.787,2.0,MEDIUM,7.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.55975581122329,0.375
99,HAM,Mercedes,28.0,74.574,2.0,MEDIUM,8.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.509744071378258,0.3888888888888889
100,HAM,Mercedes,29.0,76.203,2.0,MEDIUM,9.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.892228222587462,0.4027777777777778
101,HAM,Mercedes,30.0,74.52600000000001,2.0,MEDIUM,10.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.498473820145573,0.4166666666666667
102,HAM,Mercedes,31.0,76.033,2.0,MEDIUM,11.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.852312749471707,0.4305555555555556
103,HAM,Mercedes,32.0,75.003,2.0,MEDIUM,12.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.610471941770367,0.4444444444444444
104,HAM,Mercedes,33.0,74.72800000000001,2.0,MEDIUM,13.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.54590279408312,0.4583333333333333
105,HAM,Mercedes,34.0,74.57900000000001,2.0,MEDIUM,14.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.510918055881664,0.4722222222222222
106,HAM,Mercedes,35.0,74.80900000000001,2.0,MEDIUM,15.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.56492134303827,0.4861111111111111
107,HAM,Mercedes,36.0,74.721,2.0,MEDIUM,16.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.54425921577835,0.5
108,HAM,Mercedes,37.0,74.516,2.0,MEDIUM,17.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.496125851138764,0.5138888888888888
109,HAM,Mercedes,38.0,74.78800000000001,2.0,MEDIUM,18.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.559990608123975,0.5277777777777778
110,HAM,Mercedes,39.0,77.12700000000001,2.0,MEDIUM,19.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.109180558816625,0.5416666666666666
