Driver,Position,Status,Finish,Race
ZHO,19,Retired,DNF,1
RUS,20,Disqualified,DNF,1
NOR,1,Finished,Win,1
VER,2,Finished,Podium,1
LEC,3,Finished,Podium,1
PIA,4,Finished,Points,1
SAI,5,Finished,Points,1
PER,6,Finished,Points,1
RUS,7,Finished,Points,1
HAM,8,Finished,Points,1
GAS,9,+1 Lap,Points,1
ALO,10,+1 Lap,Points,1
HUL,11,+1 Lap,Out of the points,1
RIC,12,+1 Lap,Out of the points,1
STR,13,+1 Lap,Out of the points,1
ALB,14,+1 Lap,Out of the points,1
OCO,15,+1 Lap,Out of the points,1
SAR,16,+1 Lap,Out of the points,1
TSU,17,+1 Lap,Out of the points,1
MAG,18,+1 Lap,Out of the points,1
BOT,19,+2 Laps,Out of the points,1
ZHO,20,+2 Laps,Out of the points,1
LEC,1,Finished,Win,1
PIA,2,Finished,Podium,1
NOR,3,Finished,Podium,1
SAI,4,Finished,Points,1
HAM,5,Finished,Points,1
VER,6,Finished,Points,1
RUS,7,Finished,Points,1
PER,8,Finished,Points,1
ALB,9,Finished,Points,1
MAG,10,Finished,Points,1
ALO,11,Finished,Out of the points,1
COL,12,Finished,Out of the points,1
RIC,13,Finished,Out of the points,1
OCO,14,+1 Lap,Out of the points,1
GAS,15,+1 Lap,Out of the points,1
BOT,16,+1 Lap,Out of the points,1
HUL,17,+1 Lap,Out of the points,1
ZHO,18,+1 Lap,Out of the points,1
STR,19,+1 Lap,Out of the points,1
TSU,20,Overheating,DNF,1
PIA,1,Finished,Win,1
LEC,2,Finished,Podium,1
RUS,3,Finished,Podium,1
NOR,4,Finished,Points,1
VER,5,Finished,Points,1
ALO,6,Finished,Points,1
ALB,7,Finished,Points,1
COL,8,Finished,Points,1
HAM,9,Finished,Points,1
BEA,10,Finished,Points,1
HUL,11,Finished,Out of the points,1
GAS,12,Finished,Out of the points,1
RIC,13,Finished,Out of the points,1
ZHO,14,Finished,Out of the points,1
OCO,15,+1 Lap,Out of the points,1
BOT,16,+1 Lap,Out of the points,1
PER,17,Retired,DNF,1
SAI,18,Retired,DNF,1
STR,19,Retired,DNF,1
TSU,20,Retired,DNF,1
NOR,1,Finished,Win,1
VER,2,Finished,Podium,1
PIA,3,Finished,Podium,1
RUS,4,Finished,Points,1
LEC,5,Finished,Points,1
HAM,6,Finished,Points,1
SAI,7,Finished,Points,1
ALO,8,+1 Lap,Points,1
HUL,9,+1 Lap,Points,1
PER,10,+1 Lap,Points,1
COL,11,+1 Lap,Out of the points,1
TSU,12,+1 Lap,Out of the points,1
OCO,13,+1 Lap,Out of the points,1
STR,14,+1 Lap,Out of the points,1
ZHO,15,+1 Lap,Out of the points,1
BOT,16,+1 Lap,Out of the points,1
GAS,17,+1 Lap,Out of the points,1
RIC,18,+1 Lap,Out of the points,1
MAG,19,Accident,DNF,1
ALB,20,Power Unit,DNF,1
LEC,1,Finished,Win,1
SAI,2,Finished,Podium,1
VER,3,Finished,Podium,1
NOR,4,Finished,Points,1
PIA,5,Finished,Points,1
RUS,6,Finished,Points,1
PER,7,Finished,Points,1
HUL,8,Finished,Points,1
LAW,9,Finished,Points,1
COL,10,Finished,Points,1
MAG,11,Finished,Out of the points,1
GAS,12,Finished,Out of the points,1
ALO,13,+1 Lap,Out of the points,1
TSU,14,+1 Lap,Out of the points,1
STR,15,+1 Lap,Out of the points,1
ALB,16,+1 Lap,Out of the points,1
BOT,17,+1 Lap,Out of the points,1
OCO,18,+1 Lap,Out of the points,1
ZHO,19,+1 Lap,Out of the points,1
HAM,20,Spun off,DNF,1
SAI,1,Finished,Win,1
NOR,2,Finished,Podium,1
LEC,3,Finished,Podium,1
HAM,4,Finished,Points,1
RUS,5,Finished,Points,1
VER,6,Finished,Points,1
MAG,7,Finished,Points,1
PIA,8,Finished,Points,1
HUL,9,+1 Lap,Points,1
GAS,10,+1 Lap,Points,1
STR,11,+1 Lap,Out of the points,1
COL,12,+1 Lap,Out of the points,1
OCO,13,+1 Lap,Out of the points,1
BOT,14,+1 Lap,Out of the points,1
ZHO,15,+1 Lap,Out of the points,1
LAW,16,+1 Lap,Out of the points,1
PER,17,+1 Lap,Out of the points,1
ALO,18,Brakes,DNF,1
ALB,19,Collision,DNF,1
TSU,20,Collision,DNF,1
VER,1,Finished,Win,1
OCO,2,Finished,Podium,1
GAS,3,Finished,Podium,1
RUS,4,Finished,Points,1
LEC,5,Finished,Points,1
NOR,6,Finished,Points,1
TSU,7,Finished,Points,1
PIA,8,Finished,Points,1
LAW,9,Finished,Points,1
HAM,10,Finished,Points,1
PER,11,Finished,Out of the points,1
BEA,12,Finished,Out of the points,1
BOT,13,Finished,Out of the points,1
ALO,14,Finished,Out of the points,1
ZHO,15,Finished,Out of the points,1
SAI,16,Accident,DNF,1
COL,17,Accident,DNF,1
ALB,18,Withdrew,DNF,1
STR,19,Withdrew,DNF,1
HUL,20,Disqualified,DNF,1
RUS,1,Finished,Win,1
HAM,2,Finished,Podium,1
SAI,3,Finished,Podium,1
LEC,4,Finished,Points,1
VER,5,Finished,Points,1
NOR,6,Finished,Points,1
PIA,7,Finished,Points,1
HUL,8,Finished,Points,1
TSU,9,Finished,Points,1
PER,10,Finished,Points,1
ALO,11,Finished,Out of the points,1
MAG,12,Finished,Out of the points,1
ZHO,13,Finished,Out of the points,1
COL,14,Finished,Out of the points,1
STR,15,Finished,Out of the points,1
LAW,16,Finished,Out of the points,1
OCO,17,+1 Lap,Out of the points,1
BOT,18,+1 Lap,Out of the points,1
ALB,19,Radiator,DNF,1
GAS,20,Engine,DNF,1
VER,1,Finished,Win,1
LEC,2,Finished,Podium,1
PIA,3,Finished,Podium,1
RUS,4,Finished,Points,1
GAS,5,Finished,Points,1
SAI,6,Finished,Points,1
ALO,7,Finished,Points,1
