,Driver,Gap,,,,Driver,Gap,,,
68,TSU,1.216,,,,,,,,
97,TSU,2.086,,,,,,,,
109,TSU,0.926,,,,,,,,
125,TSU,0.612,,,,,,,,
146,TSU,0.588,,,,,,,,
166,TSU,0.561,,,,,,,,
195,TSU,1.602,,,,,,,,
212,TSU,1.098,,,,,,,,
231,TSU,1.45,,,,,,,,
247,TSU,0.894,,,,,,,,
276,TSU,3.434,,,,,,,,
1,VER,0.014,,,,,,,,
20,VER,0,,,,,,,,
40,VER,0,,,,,,,,
59,VER,0,,,,,,,,
79,VER,0,,,,,,,,
99,VER,0,,,,,,,,
119,VER,0,,,,,,,,
144,VER,0.297,,,,,,,,
161,VER,0.258,,,,,,,,
180,VER,0.02,,,,,,,,
199,VER,0,,,,,,,,
222,VER,0.384,,,,,,,,
241,VER,0.046,,,,,,,,
259,VER,0,,,,,,,,
16,ZHO,1.592,,,,,,,,
58,ZHO,2.273,,,,,,,,
78,ZHO,1.946,,,,,,,,
94,ZHO,1.845,,,,,,,,
118,ZHO,1.583,,,,,,,,
135,ZHO,2.088,,,,,,,,
158,ZHO,2.758,,,,,,,,
178,ZHO,2.55,,,,,,,,
193,ZHO,1.355,,,,,,,,
218,ZHO,1.747,,,,,,,,
232,ZHO,2.048,,,,,,,,
256,ZHO,2.81,,,,,,,,
278,ZHO,4.616,,,,,,,,
39,,,,,,,,,,
138,,,,,,,,,,
