,Driver,Gap,Team,GP,Gap team
86,BOT,0.75,Alfa Romeo,5,
93,ZHO,1.277,Alfa Romeo,5,
94,DEV,1.511,AlphaTauri,5,
96,TSU,1.615,AlphaTauri,5,
85,OCO,0.63,Alpine,5,
87,GAS,0.798,Alpine,5,
83,ALO,0.283,Aston Martin,5,
97,STR,1.662,Aston Martin,5,
82,LEC,0.15,Ferrari,5,
84,SAI,0.334,Ferrari,5,
88,MAG,0.859,Haas F1 Team,5,
92,HUL,1.089,Haas F1 Team,5,
95,NOR,1.58,McLaren,5,
98,PIA,1.67,McLaren,5,
89,RUS,0.929,Mercedes,5,
91,HAM,1.032,Mercedes,5,
80,VER,0,Red Bull Racing,5,
81,PER,0.027,Red Bull Racing,5,
90,ALB,0.981,Williams,5,
99,SAR,1.763,Williams,5,
114,BOT,1.26,Alfa Romeo,6,
118,ZHO,2.158,Alfa Romeo,6,
108,TSU,0.717,AlphaTauri,6,
111,DEV,1.063,AlphaTauri,6,
103,OCO,0.188,Alpine,6,
106,GAS,0.568,Alpine,6,
101,ALO,0.084,Aston Martin,6,
113,STR,1.258,Aston Martin,6,
102,LEC,0.106,Ferrari,6,
104,SAI,0.265,Ferrari,6,
116,MAG,1.905,Haas F1 Team,6,
117,HUL,1.914,Haas F1 Team,6,
109,NOR,0.889,McLaren,6,
110,PIA,1.03,McLaren,6,
105,HAM,0.36,Mercedes,6,
107,RUS,0.599,Mercedes,6,
100,VER,0,Red Bull Racing,6,
119,PER,2.485,Red Bull Racing,6,
112,ALB,1.162,Williams,6,
115,SAR,1.748,Williams,6,
132,ZHO,1.249,Alfa Romeo,7,
135,BOT,1.705,Alfa Romeo,7,
133,DEV,1.309,AlphaTauri,7,
134,TSU,1.59,AlphaTauri,7,
123,GAS,0.544,Alpine,7,
126,OCO,0.729,Alpine,7,
125,STR,0.722,Aston Martin,7,
128,ALO,0.826,Aston Martin,7,
121,SAI,0.462,Ferrari,7,
138,LEC,1.807,Ferrari,7,
129,HUL,0.957,Haas F1 Team,7,
136,MAG,1.77,Haas F1 Team,7,
122,NOR,0.504,McLaren,7,
127,PIA,0.787,McLaren,7,
124,HAM,0.546,Mercedes,7,
130,RUS,1.054,Mercedes,7,
120,VER,0,Red Bull Racing,7,
131,PER,1.062,Red Bull Racing,7,
137,ALB,1.791,Williams,7,
139,SAR,2.427,Williams,7,
154,BOT,3.096,Alfa Romeo,8,
159,ZHO,4.617,Alfa Romeo,8,
155,TSU,4.021,AlphaTauri,8,
157,DEV,4.412,AlphaTauri,8,
148,OCO,1.681,Alpine,8,
156,GAS,4.161,Alpine,8,
144,ALO,1.051,Aston Martin,8,
152,STR,2.759,Aston Martin,8,
145,SAI,1.131,Ferrari,8,
150,LEC,1.89,Ferrari,8,
147,HUL,1.58,Haas F1 Team,8,
153,MAG,2.953,Haas F1 Team,8,
142,NOR,0.622,McLaren,8,
143,PIA,0.934,McLaren,8,
146,RUS,1.373,Mercedes,8,
149,HAM,1.701,Mercedes,8,
141,VER,0.367,Red Bull Racing,8,
151,PER,2.234,Red Bull Racing,8,
140,ALB,0,Williams,8,
158,SAR,4.612,Williams,8,
174,BOT,1.289,Alfa Romeo,9,
176,ZHO,1.427,Alfa Romeo,9,
175,TSU,1.393,AlphaTauri,9,
179,DEV,1.583,AlphaTauri,9,
168,GAS,0.779,Alpine,9,
172,OCO,1.062,Alpine,9,
165,STR,0.502,Aston Martin,9,
166,ALO,0.52,Aston Martin,9,
161,LEC,0.048,Ferrari,9,
162,SAI,0.19,Ferrari,9,
167,HUL,0.699,Haas F1 Team,9,
178,MAG,1.58,Haas F1 Team,9,
163,NOR,0.267,McLaren,9,
173,PIA,1.214,McLaren,9,
164,HAM,0.428,Mercedes,9,
171,RUS,1.037,Mercedes,9,
160,VER,0,Red Bull Racing,9,
169,PER,0.786,Red Bull Racing,9,
170,ALB,0.996,Williams,9,
177,SAR,1.557,Williams,9,
194,BOT,3.078,Alfa Romeo,10,
197,ZHO,3.403,Alfa Romeo,10,
196,TSU,3.305,AlphaTauri,10,
198,DEV,3.793,AlphaTauri,10,
189,GAS,0.969,Alpine,10,
192,OCO,2.236,Alpine,10,
188,ALO,0.939,Aston Martin,10,
191,STR,2.215,Aston Martin,10,
183,LEC,0.416,Ferrari,10,
184,SAI,0.428,Ferrari,10,
190,HUL,2.176,Haas F1 Team,10,
199,MAG,5.658,Haas F1 Team,10,
181,NOR,0.241,McLaren,10,
182,PIA,0.372,McLaren,10,
185,RUS,0.435,Mercedes,10,
186,HAM,0.491,Mercedes,10,
180,VER,0,Red Bull Racing,10,
195,PER,3.248,Red Bull Racing,10,
187,ALB,0.81,Williams,10,
193,SAR,2.311,Williams,10,
204,ZHO,0.362,Alfa Romeo,11,
206,BOT,0.425,Alfa Romeo,11,
212,RIC,1.393,AlphaTauri,11,
216,TSU,2.31,AlphaTauri,11,
211,OCO,1.232,Alpine,11,
214,GAS,1.608,Alpine,11,
207,ALO,0.426,Aston Martin,11,
213,STR,1.535,Aston Martin,11,
205,LEC,0.383,Ferrari,11,
210,SAI,1.094,Ferrari,11,
209,HUL,0.577,Haas F1 Team,11,
218,MAG,2.597,Haas F1 Team,11,
202,NOR,0.085,McLaren,11,
203,PIA,0.296,McLaren,11,
200,HAM,0,Mercedes,11,
217,RUS,2.418,Mercedes,11,
201,VER,0.003,Red Bull Racing,11,
208,PER,0.436,Red Bull Racing,11,
215,ALB,2.308,Williams,11,
219,SAR,2.639,Williams,11,
233,BOT,8.526,Alfa Romeo,12,
236,ZHO,14.664,Alfa Romeo,12,
230,TSU,6.98,AlphaTauri,12,
238,RIC,15.991,AlphaTauri,12,
231,GAS,7.503,Alpine,12,
234,OCO,10.204,Alpine,12,
228,ALO,1.675,Aston Martin,12,
229,STR,2.673,Aston Martin,12,
221,LEC,0.82,Ferrari,12,
224,SAI,0.984,Ferrari,12,
232,MAG,7.992,Haas F1 Team,12,
239,HUL,16.998,Haas F1 Team,12,
225,PIA,1.197,McLaren,12,
226,NOR,1.501,McLaren,12,
223,HAM,0.919,Mercedes,12,
227,RUS,1.637,Mercedes,12,
220,VER,0,Red Bull Racing,12,
222,PER,0.877,Red Bull Racing,12,
235,ALB,14.146,Williams,12,
237,SAR,15.367,Williams,12,
255,ZHO,11.5,Alfa Romeo,13,
258,BOT,11.693,Alfa Romeo,13,
253,TSU,9.663,AlphaTauri,13,
259,LAW,12.853,AlphaTauri,13,
251,GAS,9.561,Alpine,13,
256,OCO,11.543,Alpine,13,
244,ALO,0.939,Aston Martin,13,
250,STR,9.554,Aston Martin,13,
245,SAI,1.187,Ferrari,13,
248,LEC,2.098,Ferrari,13,
254,HUL,9.683,Haas F1 Team,13,
257,MAG,11.625,Haas F1 Team,13,
241,NOR,0.537,McLaren,13,
247,PIA,1.371,McLaren,13,
242,RUS,0.727,Mercedes,13,
252,HAM,9.584,Mercedes,13,
240,VER,0,Red Bull Racing,13,
246,PER,1.313,Red Bull Racing,13,
243,ALB,0.852,Williams,13,
249,SAR,6.181,Williams,13,
274,BOT,1.646,Alfa Romeo,14,
275,ZHO,2.096,Alfa Romeo,14,
270,TSU,1.3,AlphaTauri,14,
271,LAW,1.464,AlphaTauri,14,
276,GAS,2.251,Alpine,14,
277,OCO,2.254,Alpine,14,
269,ALO,1.123,Aston Martin,14,
279,STR,2.566,Aston Martin,14,
260,SAI,0,Ferrari,14,
262,LEC,0.067,Ferrari,14,
272,HUL,1.482,Haas F1 Team,14,
278,MAG,2.298,Haas F1 Team,14,
266,PIA,0.491,McLaren,14,
268,NOR,0.685,McLaren,14,
263,RUS,0.377,Mercedes,14,
267,HAM,0.526,Mercedes,14,
