,Driver,Team,GP,Year,Strategy
168,KVY,RB,Great Britain,2019,SOFT-MEDIUM-HARD
169,HUL,Alpine,Great Britain,2019,SOFT-HARD
170,NOR,McLaren,Great Britain,2019,SOFT-MEDIUM-HARD
171,ALB,RB,Great Britain,2019,SOFT-MEDIUM
172,STR,Aston Martin,Great Britain,2019,MEDIUM-HARD-SOFT
173,RUS,Williams,Great Britain,2019,MEDIUM-HARD
174,KUB,Williams,Great Britain,2019,MEDIUM-HARD
175,VET,Ferrari,Great Britain,2019,SOFT-HARD-MEDIUM
176,PER,Aston Martin,Great Britain,2019,MEDIUM-HARD-SOFT-SOFT
177,GIO,Kick Sauber,Great Britain,2019,MEDIUM
178,GRO,Haas F1 Team,Great Britain,2019,SOFT-HARD
179,MAG,Haas F1 Team,Great Britain,2019,SOFT-HARD
180,HAM,Mercedes,Hungary,2019,MEDIUM-HARD-HARD
181,VER,Red Bull Racing,Hungary,2019,MEDIUM-HARD-SOFT
182,VET,Ferrari,Hungary,2019,MEDIUM-SOFT
183,LEC,Ferrari,Hungary,2019,MEDIUM-HARD
184,SAI,McLaren,Hungary,2019,SOFT-HARD
185,GAS,Red Bull Racing,Hungary,2019,MEDIUM-HARD
186,RAI,Kick Sauber,Hungary,2019,SOFT-MEDIUM
187,BOT,Mercedes,Hungary,2019,MEDIUM-HARD-MEDIUM
188,NOR,McLaren,Hungary,2019,SOFT-HARD
189,ALB,RB,Hungary,2019,MEDIUM-HARD
190,PER,Aston Martin,Hungary,2019,MEDIUM-HARD
191,HUL,Alpine,Hungary,2019,MEDIUM-SOFT
192,MAG,Haas F1 Team,Hungary,2019,MEDIUM-SOFT
193,RIC,Alpine,Hungary,2019,HARD-SOFT
194,KVY,RB,Hungary,2019,MEDIUM-HARD
195,RUS,Williams,Hungary,2019,MEDIUM-HARD
196,STR,Aston Martin,Hungary,2019,MEDIUM-HARD-SOFT
197,GIO,Kick Sauber,Hungary,2019,MEDIUM-HARD
198,KUB,Williams,Hungary,2019,MEDIUM-HARD
199,GRO,Haas F1 Team,Hungary,2019,SOFT-HARD
200,LEC,Ferrari,Belgium,2019,SOFT-MEDIUM
201,HAM,Mercedes,Belgium,2019,SOFT-MEDIUM
202,BOT,Mercedes,Belgium,2019,SOFT-MEDIUM
203,VET,Ferrari,Belgium,2019,SOFT-MEDIUM-SOFT
204,ALB,Red Bull Racing,Belgium,2019,MEDIUM-SOFT
205,PER,Aston Martin,Belgium,2019,SOFT-MEDIUM
206,KVY,RB,Belgium,2019,MEDIUM-SOFT
207,HUL,Alpine,Belgium,2019,SOFT-MEDIUM-SOFT
208,GAS,RB,Belgium,2019,SOFT-MEDIUM
209,STR,Aston Martin,Belgium,2019,SOFT-MEDIUM-SOFT
210,NOR,McLaren,Belgium,2019,SOFT-MEDIUM
211,MAG,Haas F1 Team,Belgium,2019,SOFT-MEDIUM
212,GRO,Haas F1 Team,Belgium,2019,SOFT-MEDIUM
213,RIC,Alpine,Belgium,2019,SOFT-MEDIUM
214,RUS,Williams,Belgium,2019,MEDIUM-SOFT
215,RAI,Kick Sauber,Belgium,2019,SOFT-MEDIUM-MEDIUM-SOFT
216,KUB,Williams,Belgium,2019,MEDIUM-SOFT
217,GIO,Kick Sauber,Belgium,2019,MEDIUM-SOFT
218,SAI,McLaren,Belgium,2019,SOFT
219,VER,Red Bull Racing,Belgium,2019,SOFT
220,BOT,Mercedes,Azerbaijan,2019,SOFT-MEDIUM
221,HAM,Mercedes,Azerbaijan,2019,SOFT-MEDIUM
222,VET,Ferrari,Azerbaijan,2019,SOFT-MEDIUM
223,VER,Red Bull Racing,Azerbaijan,2019,SOFT-MEDIUM
224,LEC,Ferrari,Azerbaijan,2019,MEDIUM-SOFT-SOFT
225,PER,Aston Martin,Azerbaijan,2019,SOFT-MEDIUM
226,SAI,McLaren,Azerbaijan,2019,SOFT-MEDIUM
227,NOR,McLaren,Azerbaijan,2019,SOFT-MEDIUM-SOFT
228,STR,Aston Martin,Azerbaijan,2019,SOFT-MEDIUM
229,RAI,Kick Sauber,Azerbaijan,2019,SOFT-MEDIUM
230,ALB,RB,Azerbaijan,2019,SOFT-MEDIUM
231,GIO,Kick Sauber,Azerbaijan,2019,SOFT-MEDIUM
232,MAG,Haas F1 Team,Azerbaijan,2019,SOFT-MEDIUM-SOFT
233,HUL,Alpine,Azerbaijan,2019,SOFT-MEDIUM-SOFT
234,RUS,Williams,Azerbaijan,2019,MEDIUM-MEDIUM-SOFT
235,KUB,Williams,Azerbaijan,2019,MEDIUM-MEDIUM-MEDIUM-SOFT
236,GAS,Red Bull Racing,Azerbaijan,2019,MEDIUM
237,GRO,Haas F1 Team,Azerbaijan,2019,MEDIUM-SOFT
238,KVY,RB,Azerbaijan,2019,SOFT-MEDIUM
239,RIC,Alpine,Azerbaijan,2019,SOFT-MEDIUM
240,VET,Ferrari,Singapore,2019,SOFT-HARD
241,LEC,Ferrari,Singapore,2019,SOFT-HARD
242,VER,Red Bull Racing,Singapore,2019,SOFT-HARD
243,HAM,Mercedes,Singapore,2019,SOFT-HARD
244,BOT,Mercedes,Singapore,2019,SOFT-HARD
245,ALB,Red Bull Racing,Singapore,2019,SOFT-HARD
246,NOR,McLaren,Singapore,2019,SOFT-HARD
247,GAS,RB,Singapore,2019,HARD-MEDIUM
248,HUL,Alpine,Singapore,2019,SOFT-HARD-MEDIUM
249,GIO,Kick Sauber,Singapore,2019,MEDIUM-HARD-SOFT
250,GRO,Haas F1 Team,Singapore,2019,MEDIUM-HARD-SOFT
251,SAI,McLaren,Singapore,2019,SOFT-HARD-MEDIUM
252,STR,Aston Martin,Singapore,2019,MEDIUM-HARD-SOFT-SOFT
253,RIC,Alpine,Singapore,2019,MEDIUM-HARD
254,KVY,RB,Singapore,2019,MEDIUM-HARD-SOFT
255,KUB,Williams,Singapore,2019,MEDIUM-HARD-MEDIUM
256,MAG,Haas F1 Team,Singapore,2019,MEDIUM-HARD-SOFT
257,RAI,Kick Sauber,Singapore,2019,MEDIUM-HARD
258,PER,Aston Martin,Singapore,2019,MEDIUM-HARD
259,RUS,Williams,Singapore,2019,MEDIUM-HARD
260,BOT,Mercedes,Austin,2019,MEDIUM-HARD-MEDIUM
261,HAM,Mercedes,Austin,2019,MEDIUM-HARD
262,VER,Red Bull Racing,Austin,2019,MEDIUM-HARD-MEDIUM
263,LEC,Ferrari,Austin,2019,MEDIUM-HARD-SOFT
264,ALB,Red Bull Racing,Austin,2019,SOFT-MEDIUM-MEDIUM-SOFT
265,RIC,Alpine,Austin,2019,SOFT-HARD
266,NOR,McLaren,Austin,2019,SOFT-HARD-MEDIUM
267,SAI,McLaren,Austin,2019,SOFT-HARD
268,HUL,Alpine,Austin,2019,HARD-MEDIUM-SOFT
269,PER,Aston Martin,Austin,2019,MEDIUM-HARD
270,RAI,Kick Sauber,Austin,2019,SOFT-HARD-SOFT
271,KVY,RB,Austin,2019,HARD-MEDIUM-SOFT
272,STR,Aston Martin,Austin,2019,MEDIUM-HARD-SOFT
273,GIO,Kick Sauber,Austin,2019,MEDIUM-HARD-SOFT
274,GRO,Haas F1 Team,Austin,2019,MEDIUM-HARD
275,GAS,RB,Austin,2019,SOFT-HARD-SOFT
276,RUS,Williams,Austin,2019,MEDIUM-HARD-SOFT
277,MAG,Haas F1 Team,Austin,2019,MEDIUM-HARD-SOFT
278,KUB,Williams,Austin,2019,MEDIUM-HARD
279,VET,Ferrari,Austin,2019,MEDIUM
280,HAM,Mercedes,Mexico,2019,MEDIUM-HARD
281,VET,Ferrari,Mexico,2019,MEDIUM-HARD
282,BOT,Mercedes,Mexico,2019,MEDIUM-HARD
283,LEC,Ferrari,Mexico,2019,MEDIUM-MEDIUM-HARD
284,ALB,Red Bull Racing,Mexico,2019,MEDIUM-MEDIUM-HARD
285,VER,Red Bull Racing,Mexico,2019,MEDIUM-HARD
286,PER,Aston Martin,Mexico,2019,MEDIUM-HARD
287,RIC,Alpine,Mexico,2019,HARD-MEDIUM
288,GAS,RB,Mexico,2019,SOFT-HARD-MEDIUM
289,HUL,Alpine,Mexico,2019,MEDIUM-HARD
290,KVY,RB,Mexico,2019,SOFT-HARD-MEDIUM
291,STR,Aston Martin,Mexico,2019,MEDIUM-HARD
292,SAI,McLaren,Mexico,2019,SOFT-HARD-MEDIUM
293,GIO,Kick Sauber,Mexico,2019,MEDIUM-HARD
294,MAG,Haas F1 Team,Mexico,2019,MEDIUM-HARD
295,RUS,Williams,Mexico,2019,MEDIUM-HARD
296,GRO,Haas F1 Team,Mexico,2019,MEDIUM-HARD
297,KUB,Williams,Mexico,2019,MEDIUM-HARD-MEDIUM
298,RAI,Kick Sauber,Mexico,2019,MEDIUM-HARD-MEDIUM
299,NOR,McLaren,Mexico,2019,SOFT-HARD
300,VER,Red Bull Racing,Brazil,2019,SOFT-SOFT-MEDIUM-SOFT
301,GAS,RB,Brazil,2019,SOFT-MEDIUM-SOFT
302,SAI,McLaren,Brazil,2019,SOFT-MEDIUM
303,RAI,Kick Sauber,Brazil,2019,SOFT-MEDIUM-SOFT
304,GIO,Kick Sauber,Brazil,2019,SOFT-MEDIUM-SOFT
305,RIC,Alpine,Brazil,2019,MEDIUM-SOFT-SOFT
306,HAM,Mercedes,Brazil,2019,SOFT-SOFT-MEDIUM-SOFT
307,NOR,McLaren,Brazil,2019,SOFT-HARD-MEDIUM
308,PER,Aston Martin,Brazil,2019,SOFT-MEDIUM-SOFT
309,KVY,RB,Brazil,2019,MEDIUM-SOFT-SOFT
310,MAG,Haas F1 Team,Brazil,2019,SOFT-MEDIUM-SOFT
311,RUS,Williams,Brazil,2019,MEDIUM-MEDIUM-SOFT-SOFT
312,GRO,Haas F1 Team,Brazil,2019,SOFT-MEDIUM-SOFT
313,ALB,Red Bull Racing,Brazil,2019,SOFT-MEDIUM-SOFT
314,HUL,Alpine,Brazil,2019,MEDIUM-HARD-SOFT-SOFT
315,KUB,Williams,Brazil,2019,MEDIUM-MEDIUM-HARD-SOFT-SOFT
316,VET,Ferrari,Brazil,2019,SOFT-MEDIUM-SOFT
317,LEC,Ferrari,Brazil,2019,MEDIUM-HARD-SOFT
318,STR,Aston Martin,Brazil,2019,SOFT-MEDIUM-SOFT
319,BOT,Mercedes,Brazil,2019,SOFT-HARD-MEDIUM
320,HAM,Mercedes,Abu Dhabi,2019,MEDIUM-HARD
321,VER,Red Bull Racing,Abu Dhabi,2019,MEDIUM-HARD
322,LEC,Ferrari,Abu Dhabi,2019,MEDIUM-HARD-SOFT
323,BOT,Mercedes,Abu Dhabi,2019,MEDIUM-HARD
324,VET,Ferrari,Abu Dhabi,2019,SOFT-HARD-MEDIUM
325,ALB,Red Bull Racing,Abu Dhabi,2019,MEDIUM-HARD
326,PER,Aston Martin,Abu Dhabi,2019,MEDIUM-HARD
327,NOR,McLaren,Abu Dhabi,2019,SOFT-HARD
