index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
234,0 days 02:10:38.730000,LEC,16,0 days 00:01:38.071000,24.0,2.0,,,0 days 00:00:35.654000,0 days 00:00:43.621000,0 days 00:00:18.796000,0 days 02:09:38.562000,0 days 02:10:22.183000,0 days 02:10:40.979000,273.0,294.0,253.0,295.0,False,MEDIUM,23.0,True,Ferrari,0 days 02:09:00.659000,2024-04-07 06:10:02.293,1,2.0,False,,False,True
235,0 days 02:12:16.648000,LEC,16,0 days 00:01:37.918000,25.0,2.0,,,0 days 00:00:35.498000,0 days 00:00:43.731000,0 days 00:00:18.689000,0 days 02:11:16.477000,0 days 02:12:00.208000,0 days 02:12:18.897000,275.0,295.0,254.0,295.0,False,MEDIUM,24.0,True,Ferrari,0 days 02:10:38.730000,2024-04-07 06:11:40.364,1,2.0,False,,False,True
236,0 days 02:13:59.823000,LEC,16,0 days 00:01:43.175000,26.0,2.0,,0 days 02:14:00.746000,0 days 00:00:35.536000,0 days 00:00:46.559000,0 days 00:00:21.080000,0 days 02:12:54.433000,0 days 02:13:40.992000,0 days 02:14:02.072000,273.0,297.0,,298.0,False,MEDIUM,25.0,True,Ferrari,0 days 02:12:16.648000,2024-04-07 06:13:18.282,1,3.0,True,TRACK LIMITS AT TURN 9 LAP 26 ,False,False
237,0 days 02:15:55.446000,LEC,16,0 days 00:01:55.623000,27.0,3.0,0 days 02:14:24.012000,,0 days 00:00:54.455000,0 days 00:00:42.624000,0 days 00:00:18.544000,0 days 02:14:56.527000,0 days 02:15:39.151000,0 days 02:15:57.695000,276.0,295.0,254.0,293.0,False,HARD,1.0,True,Ferrari,0 days 02:13:59.823000,2024-04-07 06:15:01.457,1,7.0,False,,False,False
238,0 days 02:17:31.536000,LEC,16,0 days 00:01:36.090000,28.0,3.0,,,0 days 00:00:34.766000,0 days 00:00:42.802000,0 days 00:00:18.522000,0 days 02:16:32.461000,0 days 02:17:15.263000,0 days 02:17:33.785000,275.0,297.0,254.0,293.0,True,HARD,2.0,True,Ferrari,0 days 02:15:55.446000,2024-04-07 06:16:57.080,1,6.0,False,,False,True
239,0 days 02:19:07.893000,LEC,16,0 days 00:01:36.357000,29.0,3.0,,,0 days 00:00:34.918000,0 days 00:00:42.806000,0 days 00:00:18.633000,0 days 02:18:08.703000,0 days 02:18:51.509000,0 days 02:19:10.142000,,296.0,253.0,295.0,False,HARD,3.0,True,Ferrari,0 days 02:17:31.536000,2024-04-07 06:18:33.170,1,6.0,False,,False,True
240,0 days 02:20:44.118000,LEC,16,0 days 00:01:36.225000,30.0,3.0,,,0 days 00:00:34.913000,0 days 00:00:42.847000,0 days 00:00:18.465000,0 days 02:19:45.055000,0 days 02:20:27.902000,0 days 02:20:46.367000,,297.0,254.0,296.0,False,HARD,4.0,True,Ferrari,0 days 02:19:07.893000,2024-04-07 06:20:09.527,1,6.0,False,,False,True
241,0 days 02:22:20.319000,LEC,16,0 days 00:01:36.201000,31.0,3.0,,,0 days 00:00:34.794000,0 days 00:00:42.878000,0 days 00:00:18.529000,0 days 02:21:21.161000,0 days 02:22:04.039000,0 days 02:22:22.568000,,299.0,254.0,297.0,False,HARD,5.0,True,Ferrari,0 days 02:20:44.118000,2024-04-07 06:21:45.752,1,6.0,False,,False,True
242,0 days 02:23:56.463000,LEC,16,0 days 00:01:36.144000,32.0,3.0,,,0 days 00:00:34.901000,0 days 00:00:42.737000,0 days 00:00:18.506000,0 days 02:22:57.469000,0 days 02:23:40.206000,0 days 02:23:58.712000,279.0,300.0,258.0,301.0,False,HARD,6.0,True,Ferrari,0 days 02:22:20.319000,2024-04-07 06:23:21.953,1,5.0,False,,False,True
243,0 days 02:25:32.341000,LEC,16,0 days 00:01:35.878000,33.0,3.0,,,0 days 00:00:34.376000,0 days 00:00:42.930000,0 days 00:00:18.572000,0 days 02:24:33.088000,0 days 02:25:16.018000,0 days 02:25:34.590000,276.0,298.0,254.0,298.0,True,HARD,7.0,True,Ferrari,0 days 02:23:56.463000,2024-04-07 06:24:58.097,1,4.0,False,,False,True
244,0 days 02:27:08.661000,LEC,16,0 days 00:01:36.320000,34.0,3.0,,,0 days 00:00:34.925000,0 days 00:00:42.872000,0 days 00:00:18.523000,0 days 02:26:09.515000,0 days 02:26:52.387000,0 days 02:27:10.910000,277.0,296.0,255.0,297.0,False,HARD,8.0,True,Ferrari,0 days 02:25:32.341000,2024-04-07 06:26:33.975,1,3.0,False,,False,True
245,0 days 02:28:44.717000,LEC,16,0 days 00:01:36.056000,35.0,3.0,,,0 days 00:00:34.740000,0 days 00:00:42.872000,0 days 00:00:18.444000,0 days 02:27:45.650000,0 days 02:28:28.522000,0 days 02:28:46.966000,278.0,297.0,256.0,299.0,False,HARD,9.0,True,Ferrari,0 days 02:27:08.661000,2024-04-07 06:28:10.295,1,3.0,False,,False,True
246,0 days 02:30:21.398000,LEC,16,0 days 00:01:36.681000,36.0,3.0,,,0 days 00:00:35.315000,0 days 00:00:42.850000,0 days 00:00:18.516000,0 days 02:29:22.281000,0 days 02:30:05.131000,0 days 02:30:23.647000,276.0,300.0,257.0,298.0,False,HARD,10.0,True,Ferrari,0 days 02:28:44.717000,2024-04-07 06:29:46.351,1,3.0,False,,False,True
247,0 days 02:31:57.533000,LEC,16,0 days 00:01:36.135000,37.0,3.0,,,0 days 00:00:34.712000,0 days 00:00:42.789000,0 days 00:00:18.634000,0 days 02:30:58.359000,0 days 02:31:41.148000,0 days 02:31:59.782000,,298.0,256.0,297.0,False,HARD,11.0,True,Ferrari,0 days 02:30:21.398000,2024-04-07 06:31:23.032,1,3.0,False,,False,True
248,0 days 02:33:33.562000,LEC,16,0 days 00:01:36.029000,38.0,3.0,,,0 days 00:00:34.752000,0 days 00:00:42.737000,0 days 00:00:18.540000,0 days 02:32:34.534000,0 days 02:33:17.271000,0 days 02:33:35.811000,277.0,299.0,256.0,300.0,False,HARD,12.0,True,Ferrari,0 days 02:31:57.533000,2024-04-07 06:32:59.167,1,3.0,False,,False,True
249,0 days 02:35:09.255000,LEC,16,0 days 00:01:35.693000,39.0,3.0,,,0 days 00:00:34.610000,0 days 00:00:42.582000,0 days 00:00:18.501000,0 days 02:34:10.421000,0 days 02:34:53.003000,0 days 02:35:11.504000,280.0,301.0,255.0,303.0,True,HARD,13.0,True,Ferrari,0 days 02:33:33.562000,2024-04-07 06:34:35.196,1,3.0,False,,False,True
