Driver,Points,GP
TSU,0,Saudi Arabia
VER,25,Saudi Arabia
ZHO,0,Saudi Arabia
VER,25,Canada
NOR,18,Canada
RUS,15,Canada
HAM,13,Canada
PIA,10,Canada
ALO,8,Canada
STR,6,Canada
RIC,4,Canada
GAS,2,Canada
OCO,1,Canada
HUL,0,Canada
MAG,0,Canada
BOT,0,Canada
TSU,0,Canada
ZHO,0,Canada
SAI,0,Canada
ALB,0,Canada
PER,0,Canada
LEC,0,Canada
SAR,0,Canada
VER,25,Spain
NOR,19,Spain
HAM,15,Spain
RUS,12,Spain
LEC,10,Spain
SAI,8,Spain
PIA,6,Spain
PER,4,Spain
GAS,2,Spain
OCO,1,Spain
HUL,0,Spain
ALO,0,Spain
ZHO,0,Spain
STR,0,Spain
RIC,0,Spain
BOT,0,Spain
MAG,0,Spain
ALB,0,Spain
TSU,0,Spain
SAR,0,Spain
RUS,30,Austria
PIA,25,Austria
SAI,19,Austria
HAM,15,Austria
VER,18,Austria
HUL,8,Austria
PER,7,Austria
MAG,4,Austria
RIC,2,Austria
GAS,1,Austria
LEC,2,Austria
OCO,0,Austria
STR,0,Austria
TSU,0,Austria
ALB,0,Austria
BOT,0,Austria
ZHO,0,Austria
ALO,0,Austria
SAR,0,Austria
NOR,6,Austria
HAM,25,Great Britain
VER,18,Great Britain
NOR,15,Great Britain
PIA,12,Great Britain
SAI,11,Great Britain
HUL,8,Great Britain
STR,6,Great Britain
ALO,4,Great Britain
ALB,2,Great Britain
TSU,1,Great Britain
SAR,0,Great Britain
MAG,0,Great Britain
RIC,0,Great Britain
LEC,0,Great Britain
BOT,0,Great Britain
OCO,0,Great Britain
PER,0,Great Britain
ZHO,0,Great Britain
RUS,0,Great Britain
GAS,0,Great Britain
PIA,25,Hungary
NOR,18,Hungary
HAM,15,Hungary
LEC,12,Hungary
VER,10,Hungary
SAI,8,Hungary
PER,6,Hungary
RUS,5,Hungary
TSU,2,Hungary
STR,1,Hungary
ALO,0,Hungary
RIC,0,Hungary
HUL,0,Hungary
ALB,0,Hungary
MAG,0,Hungary
BOT,0,Hungary
SAR,0,Hungary
OCO,0,Hungary
ZHO,0,Hungary
GAS,0,Hungary
HAM,25,Belgium
PIA,18,Belgium
LEC,15,Belgium
VER,12,Belgium
NOR,10,Belgium
SAI,8,Belgium
PER,7,Belgium
ALO,4,Belgium
OCO,2,Belgium
RIC,1,Belgium
STR,0,Belgium
ALB,0,Belgium
GAS,0,Belgium
MAG,0,Belgium
BOT,0,Belgium
TSU,0,Belgium
SAR,0,Belgium
HUL,0,Belgium
ZHO,0,Belgium
RUS,0,Belgium
