,Driver,Gap
102,PER,0.2510287594135717
103,NOR,0.4046262651734785
104,PIA,0.49747251865521663
105,HAM,0.5226900196008792
106,GAS,0.8424937815935162
107,RUS,0.9468025355050875
108,HUL,1.037356288900862
109,TSU,1.0614275398035349
110,STR,1.0728900402333847
111,OCO,1.1095700416088805
112,ALB,1.2631675473687873
113,ALO,1.3594525509794788
114,BOT,1.4007175525269016
115,SAR,1.4282275535585276
116,RIC,1.5772400591465077
117,MAG,1.5795325592324712
118,ZHO,1.8145138180442661
119,VER,0.0
120,PIA,0.09900195328177838
121,NOR,0.12174564525193078
122,LEC,0.2996815883124231
123,SAI,0.6515398817328137
124,RUS,0.6528777459663387
125,TSU,0.8187729109250114
126,HAM,1.0141010890214992
127,HUL,1.101062264201439
128,RIC,1.2415380087228902
129,PER,1.284349664196088
130,OCO,1.5519225109036079
131,STR,1.666978834987838
132,GAS,1.6977497123591971
133,ALB,1.9452545955636527
134,BOT,2.5151847590506646
135,ZHO,2.7934605196264792
136,MAG,2.8202178042972257
137,ALO,2.9045032510100963
138,,
139,LEC,0.0
140,PIA,0.21915468905651142
141,SAI,0.35292443432475407
142,NOR,0.3870784118400535
143,RUS,0.388501494236531
144,VER,0.4226554717518103
145,HAM,0.49950192116123393
146,TSU,0.8367724491248159
147,GAS,0.8908495801906998
148,ALB,0.9648498648071685
149,OCO,1.4444286324178177
150,HUL,1.6650064038707866
151,RIC,1.7247758645225608
152,STR,1.8400455386366963
153,MAG,2.070584886864947
154,ALO,2.488971111427365
155,SAR,2.4903941938238225
156,PER,2.5473174896826616
157,BOT,3.1905507328874405
158,ZHO,3.924861249466358
159,RUS,0.0
160,HAM,0.3303504223467352
161,VER,0.35962197875720714
162,NOR,0.3888935351676791
163,PIA,0.503191993532366
164,RIC,0.6077332664269086
165,ALO,0.6774274483565972
166,TSU,0.7819687212511399
167,ALB,1.0356555434752235
168,STR,1.2781912965905629
169,LEC,1.3227955730255612
170,SAI,1.3743692676535222
171,SAR,1.3855203367622866
172,MAG,1.6364193917091694
173,GAS,1.669872599035423
174,PER,2.207911683532643
175,BOT,2.263667029076406
176,OCO,2.3598450001393854
177,HUL,3.116723815895835
178,ZHO,3.5544032784143136
179,NOR,0.0
180,VER,0.028017875404522413
181,HAM,0.4454842189316754
182,RUS,0.44828600647213956
183,LEC,0.4875110320384391
184,SAI,0.4945155008895797
185,GAS,0.6640236470868467
186,PIA,0.8797612877015538
187,PER,0.9399997198212551
188,OCO,1.017048877183642
189,ALO,1.0436658588179322
190,BOT,1.1823543420702525
191,HUL,1.2986285249989589
192,STR,1.3854839387529305
193,ZHO,1.8982110586554277
194,MAG,2.1769889189302805
195,TSU,2.2442318199011027
196,RIC,2.3703122592213934
197,ALB,2.4795819732989792
198,SAR,2.9783001554992152
199,VER,0.0
200,NOR,0.6281680505022399
201,RUS,0.8178623627826143
202,SAI,0.8349659483160838
203,HAM,0.9158192617470737
204,LEC,1.1350561308579845
205,PIA,1.1412756165065288
206,PER,1.2905432720714194
207,HUL,1.4740180987032492
208,OCO,1.4926765556488604
209,RIC,1.5159996268308746
210,MAG,1.6061821687346478
211,GAS,1.624840625680259
212,TSU,1.7072488105233905
213,ALO,2.0602046210778413
214,ALB,2.2110271480548738
215,STR,2.340081475262011
216,BOT,2.383617874801756
217,SAR,2.397611717510965
218,ZHO,2.716360356998498
219,RUS,0.0
220,HAM,0.19925657488434062
221,NOR,0.24586630000349402
222,VER,0.4474533611438031
223,PIA,0.48707162749506766
224,HUL,0.6047611834209106
225,SAI,0.8040177583052677
226,STR,0.8925762360316376
227,ALB,0.9566646080704715
228,ALO,1.0615364895885542
229,LEC,1.4891807175567084
230,SAR,1.5800696815390467
231,TSU,1.6896025355690496
232,ZHO,2.386417926100283
233,RIC,2.4819678625945247
234,BOT,7.704587562194845
235,MAG,8.25691280485673
236,OCO,10.181894452277467
237,PER,14.599331150444536
238,GAS,16.295925144781457
239,NOR,0.0
240,PIA,0.029244819014438116
241,VER,0.061148257939293425
242,SAI,0.6234463689898495
243,HAM,0.8334773419118073
244,LEC,0.8826618102542989
245,ALO,1.084716923445043
246,STR,1.1272548420115105
247,TSU,1.188403099950804
248,RIC,1.2960772063221906
249,HUL,1.448947851170443
250,BOT,1.5380116181690038
251,ALB,1.5978305661531074
252,SAR,1.7493719010461701
253,MAG,1.7560184508221752
254,PER,3.5346351708827837
255,RUS,3.6436385872093786
256,ZHO,3.735360974118338
257,OCO,3.7513126935807652
258,GAS,3.9068419583394167
259,VER,0.0
260,LEC,0.5258088176813147
261,PER,0.5355296529661755
262,HAM,0.5973895138698536
263,NOR,0.726411509468967
264,PIA,0.7670622752056796
265,RUS,0.8271547115121137
