index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
662,0 days 01:20:10.042000,NOR,4,0 days 00:01:33.674000,11.0,1.0,,,0 days 00:00:34.198000,0 days 00:00:29.625000,0 days 00:00:29.851000,0 days 01:19:10.582000,0 days 01:19:40.207000,0 days 01:20:10.058000,282.0,293.0,289.0,296.0,True,MEDIUM,11.0,True,McLaren,0 days 01:18:36.368000,2024-03-09 17:22:51.588,1,1.0,False,,False,True
663,0 days 01:21:43.919000,NOR,4,0 days 00:01:33.877000,12.0,1.0,,,0 days 00:00:34.258000,0 days 00:00:29.634000,0 days 00:00:29.985000,0 days 01:20:44.316000,0 days 01:21:13.950000,0 days 01:21:43.935000,280.0,292.0,288.0,295.0,False,MEDIUM,12.0,True,McLaren,0 days 01:20:10.042000,2024-03-09 17:24:25.262,1,1.0,False,,False,True
664,0 days 01:23:19.050000,NOR,4,0 days 00:01:35.131000,13.0,1.0,,,0 days 00:00:35.575000,0 days 00:00:29.624000,0 days 00:00:29.932000,0 days 01:22:19.510000,0 days 01:22:49.134000,0 days 01:23:19.066000,285.0,299.0,290.0,301.0,False,MEDIUM,13.0,True,McLaren,0 days 01:21:43.919000,2024-03-09 17:25:59.139,1,2.0,False,,False,True
665,0 days 01:24:53.021000,NOR,4,0 days 00:01:33.971000,14.0,1.0,,,0 days 00:00:34.497000,0 days 00:00:29.550000,0 days 00:00:29.924000,0 days 01:23:53.563000,0 days 01:24:23.113000,0 days 01:24:53.037000,286.0,297.0,290.0,300.0,False,MEDIUM,14.0,True,McLaren,0 days 01:23:19.050000,2024-03-09 17:27:34.270,1,2.0,False,,False,True
666,0 days 01:26:26.965000,NOR,4,0 days 00:01:33.944000,15.0,1.0,,,0 days 00:00:34.389000,0 days 00:00:29.587000,0 days 00:00:29.968000,0 days 01:25:27.426000,0 days 01:25:57.013000,0 days 01:26:26.981000,,298.0,290.0,299.0,False,MEDIUM,15.0,True,McLaren,0 days 01:24:53.021000,2024-03-09 17:29:08.241,1,2.0,False,,False,True
667,0 days 01:28:00.823000,NOR,4,0 days 00:01:33.858000,16.0,1.0,,,0 days 00:00:34.387000,0 days 00:00:29.562000,0 days 00:00:29.909000,0 days 01:27:01.368000,0 days 01:27:30.930000,0 days 01:28:00.839000,,298.0,289.0,300.0,False,MEDIUM,16.0,True,McLaren,0 days 01:26:26.965000,2024-03-09 17:30:42.185,1,2.0,False,,False,True
668,0 days 01:29:35.320000,NOR,4,0 days 00:01:34.497000,17.0,1.0,,,0 days 00:00:34.635000,0 days 00:00:29.782000,0 days 00:00:30.080000,0 days 01:28:35.474000,0 days 01:29:05.256000,0 days 01:29:35.336000,283.0,294.0,286.0,297.0,False,MEDIUM,17.0,True,McLaren,0 days 01:28:00.823000,2024-03-09 17:32:16.043,1,2.0,False,,False,True
669,0 days 01:31:10.927000,NOR,4,0 days 00:01:35.607000,18.0,1.0,,,0 days 00:00:35.599000,0 days 00:00:29.723000,0 days 00:00:30.285000,0 days 01:30:10.935000,0 days 01:30:40.658000,0 days 01:31:10.943000,286.0,301.0,291.0,306.0,False,MEDIUM,18.0,True,McLaren,0 days 01:29:35.320000,2024-03-09 17:33:50.540,1,3.0,True,TRACK LIMITS AT TURN 23 LAP 18 ,False,True
670,0 days 01:32:45.121000,NOR,4,0 days 00:01:34.194000,19.0,1.0,,,0 days 00:00:34.537000,0 days 00:00:29.596000,0 days 00:00:30.061000,0 days 01:31:45.480000,0 days 01:32:15.076000,0 days 01:32:45.137000,288.0,299.0,291.0,300.0,False,MEDIUM,19.0,True,McLaren,0 days 01:31:10.927000,2024-03-09 17:35:26.147,1,3.0,False,,False,True
671,0 days 01:34:19.124000,NOR,4,0 days 00:01:34.003000,20.0,1.0,,,0 days 00:00:34.492000,0 days 00:00:29.626000,0 days 00:00:29.885000,0 days 01:33:19.629000,0 days 01:33:49.255000,0 days 01:34:19.140000,287.0,299.0,291.0,301.0,False,MEDIUM,20.0,True,McLaren,0 days 01:32:45.121000,2024-03-09 17:37:00.341,1,3.0,False,,False,True
