Lap,Position,Driver,,
22,1.00,PER,,
23,1.00,PER,,
24,1.00,PER,,
25,1.00,PER,,
26,1.00,PER,,
27,2.00,PER,,
28,2.00,PER,,
29,2.00,PER,,
30,2.00,PER,,
31,2.00,PER,,
32,1.00,PER,,
33,1.00,PER,,
34,1.00,PER,,
35,2.00,PER,,
36,3.00,PER,,
37,3.00,PER,,
38,3.00,PER,,
39,3.00,PER,,
40,3.00,PER,,
41,3.00,PER,,
42,3.00,PER,,
43,2.00,PER,,
44,2.00,PER,,
45,2.00,PER,,
46,2.00,PER,,
47,2.00,PER,,
48,2.00,PER,,
49,2.00,PER,,
50,3.00,PER,,
